Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Foliage,Pollinators,Leaf,Flower,Ripen,Reproduction,Soils,pH,pH_split,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses,PFAF
Fabaceae,Acacia,angustissima,Prairie acacia. Timbre. Fernleaf Acacia,fast,"[7, 8, 9, 10]",5.0,3.0,Evergreen Tree,Evergreen,,,,,,"['light', 'medium', 'heavy']",Mildly acid and neutral soils and can grow in very acid,"['Mildly acid', 'neutral', 'very acid']",Well-drained soil,Drought,"It is a subtropical plant. Hillsides, rock slopes, summits and in grassland with other shrubs, often in deciduous or semi-deciduous forest[303 ]. Mostly on rather dry, often rocky, brushy slopes or in thin forest, frequent in pine-oak forest, sometimes in hedges, to 2,700 m[331 ].","C. America - Panama, north to Mexico and southern N. America.",2,3,4,https://pfaf.org/user/Plant.aspx?LatinName=Acacia+angustissima
Aceraceae,Acer,saccharinum,"Silver Maple, River Maple, Soft Maple",fast,"[3, 4, 5, 6, 7, 8, 9]",30.0,15.0,Deciduous Tree,Deciduous,['Wind'],,February to March,April to June,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,Atmospheric pollution,"Banks of rivers, usually in sandy soils[43, 82]. Trees are occasionally found in deep often submerged swamps.","Eastern N. America - New Brunswick to Florida, west to Oklahoma, Kansas and Nebraska.",3,1,4,https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharinum
Aceraceae,Acer,saccharum,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",slow,"[4, 5, 6, 7, 8]",30.0,12.0,Deciduous Tree,Deciduous,['Insects'],,April to May,October to December,Hermaphrodite,"['light', 'medium', 'heavy', 'heavy']","Mildly acid, neutral and basic soils and can grow in very acid","['Mildly acid', ' neutral', 'basic', 'very acid']",Well-drained soil,Atmospheric pollution,"Found in a variety of soil types, doing best in deep rich well-drained soils from sea level to 1600 metres. Rich usually hilly woods.","Eastern N. America - Newfoundland to Georgia, west to Texas and Minnesota.",4,2,4,https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharum
Asteraceae or Compositae,Achillea,millefolium,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",fast,"[4, 5, 6, 7, 8]",0.6,0.6,Perennial,,['Insects'],,June to August,July to September,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic soils and can grow in very alkaline","['Mildly acid', ' neutral', 'basic', 'very alkaline']",Well-drained soil,Drought,"Meadows, pastures, lawns etc. on all but the poorest soils.","Europe, including Britain, north to 71°, and east to western Asia.",3,4,4,https://pfaf.org/user/Plant.aspx?LatinName=Achillea+millefolium
Asteraceae or Compositae,Achillea,ptarmica,"Sneeze-Wort, Sneezeweed",fast,"[3, 4, 5, 6, 7, 8, 9]",0.6,0.6,Perennial,,"['Bees', 'Flies']",,June to October.,,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",Well-drained soil,Maritime exposure,"Damp meadows, marshes and by streams.","Europe, including Britain but excluding the Mediterranean, east to Siberia and W. Asia.",2,1,2,https://pfaf.org/user/Plant.aspx?LatinName=Achillea+ptarmica
Actinidiaceae,Actinidia,arguta,Tara Vine,,"[4, 5, 6, 7, 8]",15.0,,Deciduous Climber,Deciduous,"['Bees', 'Insects']",May to November,June to July,October,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Climbing up trees in woodland, mountain forests, thickets, streamsides and moist places at elevations of 700 - 3600 metres[11, 198,266].","E. Asia - China, Japan",5,0,2,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+arguta
Actinidiaceae,Actinidia,kolomikta,Kiwi,medium,"[3, 4, 5, 6, 7, 8]",10.0,,Deciduous Climber,Deciduous,"['Bees', 'Insects']",,June,October to November,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Coniferous woodlands and hedges in mountains throughout Japan[58, 126]. Mountain mixed forests in open places at elevations of 1600 - 2900 metres in China.","E. Asia - China, Japan, E. Siberia.",4,0,0,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+kolomikta
Actinidiaceae,Actinidia,purpurea,Purple hardy kiwi,,"[5, 6, 7, 8, 9]",10.0,,Deciduous Climber,Deciduous,"['Bees', 'Insects']",,June,November,Dioecious,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,"Mountain forests, thickets, streamsides and moist places at elevations of 700 - 3600 metres.",E. Asia - W. China,4,0,1,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+purpurea
Lamiaceae or Labiatae,Agastache,foeniculum,"Anise Hyssop, Blue giant hyssop",,"[4, 5, 6, 7, 8, 9]",0.9,0.4,Perennial,,['Bees'],,July,August,Hermaphrodite,"['light', 'medium']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']","Well-drained soil. suitable ph: mildly acid, neutral",,"Dry thickets, fields and waste ground on prairies and plains.","Western N. America - Ontario to Washington, south to Colorado.",5,1,3,https://pfaf.org/user/Plant.aspx?LatinName=Agastache+foeniculum
Malvaceae,Alcea,rosea,Hollyhock,fast,"[5, 6, 7, 8, 9]",2.4,0.6,Perennial,,,,July to September,August to October,Hermaphrodite,"['light', 'medium', 'heavy']","Mildly acid, neutral and basic","['Mildly acid', ' neutral', 'basic']",,,Not known in a truly wild situation.,"The original habitat is obscure, it is probably of hybrid origin. A garden escape in Britain[17].",3,2,3,https://pfaf.org/user/Plant.aspx?LatinName=Alcea+rosea
