Family,Genus,Species,CommonName,GrowthRate,HardinessZones,Height,Width,Type,Leaf,Flower,Ripen,Reproduction,Soils,pH,Preferences,Tolerances,Habitat,HabitatRange,Edibility,Medicinal,OtherUses
Marsileaceae,Marsilea,drummondii,"Common Nardoo, Nardoo",,[],0.3,,FERN,,,,hermaphrodite,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)",[' wet soil'],[],"Growing in mud and shallow water in the montane zone, spreading widely in all mainland states[154].",Australia.,(1 of 5),(0 of 5),(0 of 5)
Ephedraceae,Ephedra,distachya,"Sea Grape, Jointfir",,"[5, 6, 7, 8, 9]",to,1,evergreen,,July.,,dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Semi-desert and desert regions and on gritty slopes on the Russian steppes[74]. Grasslands, sandy places and rocky mountain slopes below 900 metres in China[266].",S. Europe to N. Asia.,(2 of 5),(4 of 5),(3 of 5)
Ephedraceae,Ephedra,nevadensis,"Mormon Tea, Nevada jointfir",,"[5, 6, 7, 8, 9]",to,,evergreen,,April to June.,,dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry, rocky slopes and hills, rarely in sandy flat areas, at elevtions of 700 - 1900 metres[270].","South-western N. America - Arizna, California, Nevada, Oregon and Utah.",(3 of 5),(3 of 5),(0 of 5)
Ephedraceae,Ephedra,viridis,"Mormon Tea, Brigham Tea, Long Leaf Ephedra, Mountain Joint Fir, Mormon Tea, Ephedra",,[],to,,evergreen,,April to May.,,dioecious,"['light', 'medium']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry rocky slopes, gravel terraces and canyon walls, often on limestone, at elevations of 800 - 2500 metres[270].",South-western N. America - California to Colorado and Arizona.,(2 of 5),(3 of 5),(1 of 5)
Araucariaceae,Araucaria,angustifolia,"Parana Pine. Brazilian-pine, Candelabra-tree.",slow,[],to,28,evergreen,,,,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral', ' moist soil']",['drought'],"A dominant component of tropical, seasonal, mixed moist forest, occurring at elevations between 600 - 2,300 metres[349 ].","S. America - southern Brazil, Paraguay, northern Argentina.",(3 of 5),(1 of 5),(3 of 5)
Araucariaceae,Araucaria,araucana,Monkey Puzzle Tree,slow,[],to,15,evergreen,,June to July,September to October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",['maritime exposure'],"Mountain slopes in deep sandy soils in coniferous woodland, usually with Nothofagus spp[139].",S. America - S. Chile,(5 of 5),(1 of 5),(3 of 5)
Araucariaceae,Araucaria,bidwilli,"Bunya-Bunya, Monkey Puzzle Tree, False Monkey Puzzle",medium,[],to,,evergreen,,June,September to October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline)","[' well-drained soil. Suitable pH: mildly acid, neutral']",[],"Rich volcanic soils in moist valleys at low elevations near the coast[81, 167].",Australia - Queensland.,(3 of 5),(0 of 5),(2 of 5)
Cupressaceae,Juniperus,californica,"Californian Juniper, Chuperosa",slow,[],to,,evergreen,,February to April,October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry rocky, gravelly or sandy soils on dry mountain slopes and hills, 120 - 1200 metres[82, 229].",South-western N. America - California.,(2 of 5),(1 of 5),(2 of 5)
Cupressaceae,Juniperus,communis,"Juniper, Common juniper",slow,[],to,4,evergreen,,May to June,October,dioecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil', 'dry or  moist soil']","['drought', 'maritime exposure']","Chalk downs in S. England but only where there is least sunshine and most rain, heaths, moors, pine and birch woods in the north of Scotland on acid peat, often dominant on chalk, limestone and slate.","Northern temperate zone, incl Britain, south to the mountains of N. Africa, Himalayas and California",(3 of 5),(3 of 5),(4 of 5)
Cupressaceae,Juniperus,deppeana,Alligator Juniper,slow,"[7, 8, 9]",to,,evergreen,,February to March,October to November,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Open oak or pine woodlands[229] on dry, arid mountain slopes, 1200 - 1800 metres[82].","South-western N. America - Texas, Arizona and Mexico.",(3 of 5),(0 of 5),(2 of 5)
Cupressaceae,Juniperus,drupacea,Syrian Juniper,medium,"[6, 7, 8, 9]",to,2,evergreen,,,October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very acid and very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Rocky slopes in forest or scrub, 1000 - 1500 metres in Turkey[93].","S. Europe, W. Asia, N. Africa.",(3 of 5),(0 of 5),(0 of 5)
Cupressaceae,Juniperus,monosperma,One-Seed Juniper,medium,"[4, 5, 6, 7, 8]",to,,evergreen,,April,October,dioecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Dry rocky or sandy soils, 1000 - 2300 metres[229].",South-western N. America - along the Rocky Mountains from Wyoming to Mexico.,(3 of 5),(2 of 5),(3 of 5)
Cupressaceae,Juniperus,occidentalis,Western Juniper,slow,"[4, 5, 6, 7, 8]",to,,evergreen,,,October,monoecious,"['light', 'medium', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline","[' well-drained soil. Suitable pH: mildly acid, neutral', 'dry or  moist soil']",['drought'],"Usually found on thin rocky or sandy soils[229] on desert foothills and lower mountains[60], also on windswept peaks[82] up to elevations of 3,000 metres where they become low gnarled shrubs[229].",Western N. America - British Columbia to the Sierra Nevada.,(3 of 5),(2 of 5),(3 of 5)
Cupressaceae,Thuja,occidentalis,"American Arbor-Vitae, Arborvitae,  Eastern Arborvitae, Siberian Arborvitae, Northern White Cedar, Wh",slow,"[3, 4, 5, 6, 7]",to,5,evergreen,,April to May,September to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[],[],"Swamps and cool rocky banks of streams[43], forming dense almost impenetrable forests[82, 165]. Also found on rocky soils[226]. Plants are usually found on neutral to alkaline limestone soils[226].","Eastern N. America - Nova Scotia to Georgia, west to Illinois and Minnesota.",(2 of 5),(3 of 5),(3 of 5)
Cupressaceae,Thuja,plicata,"Western Red Cedar,  Giant Arborvitae, Giant Cedar, Incense Cedar,  Western Red Cedar",fast,"[5, 6, 7, 8]",to,12,evergreen,,March to April,September to October,monoecious,"['light', 'medium', 'heavy', 'heavy']","mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline",[],['maritime exposure'],"Grows singly and in small groves in moist to swampy soils, usually in shady forests, from sea-level to 1350 metres[60, 82, 99].",Western N. America - British Columbia to California.,(1 of 5),(2 of 5),(5 of 5)
